A Super Wild Card Card compatibility list
Version: 1.0
Author: dbjh "of uCON64" with great help from CL "of NSRT"
Date: 6 december 2002
Hardware: Super Wild Card 2.8cc 32 MBit PAL
Software: uCON64 1.9.8beta7 (in CVS repository as of 6 december 2002)


Legend:
0 = seems to work without modification
1 = needs crack (uCON64 option -k)
2 = needs NTSC/PAL fix (uCON64 option -f)
3 = needs backup unit header fix
4 = seems to work, but doesn't work correctly
5 = music doesn't work
6 = copy protection screen
7 = wrong television standard (NTSC/PAL) screen
8 = corrupted/distorted graphics
9 = doesn't work


Comment:
I use the word seems, because I have tested most games only for a few minutes
or so. Even for games that I played from the beginning till the end I can't be
sure if they run as they do from a cartridge.
Games with a code marked with an asterisk (*) need uCON64 1.9.8beta7 to be
cracked/fixed.
Of course I tried to crack or fix the games that displayed a copy protection
screen. The games that have that code can't be cracked with uCON64. I didn't
bother to test other tools for these games, because the times I tried those
tools in the past they were not better than uCON64. Besides, I mainly use
GNU/Linux but those tools are all DOS programs. However most can only fix
NTSC/PAL and SlowROM protections so by using them not much would be gained.
The codes also indicate how "far" I could get with uCON64. For example, Diddy's
Kong Quest (V1.1) (U) has code 7 instead of 6, because uCON64 is able to crack
the copy protection, but not the NTSC/PAL protection.
That the music doesn't work for some games seems to be a BS-specific problem.
For some games I put an extra comment after the character sequence "<=". In
some comments I mention the so-called emulation mode select byte. This is the
byte at offset 2 in the header.
Note that code 4 is the worst code a game can have, because to solve that
problem one has to really dive into the internal workings of such a game.


Code    Game
0 -     7th Saga, The (U)
0 -     AAAHH!!! Real Monsters (U)
0 -     Act Raiser 2 (E)
4 -     Act Raiser 2 (U)
0 -     Act Raiser (U)
0 -     Addams Family, The (E)
0 -     Addams Family, The - Pugsley's Scavenger Hunt (Beta)
0 -     Addams Family, The - Pugsley's Scavenger Hunt (E)
0 -     Addams Family Values (E)
0 -     Adventures of Batman & Robin, The (E)
0 -     Aladdin (E)
0 -     Alfred Chicken (E)(4285)
0 -     Alfred Chicken (E)(6937)
0 -     Alfred Chicken (U)
0 -     Alien 3 (E) [!]
0 -     Alien vs. Predator (U)
0 -     Another World (E) [!]
0 -     Axelay (E) [!]
0 -     Bahamut Lagoon (J) [!]
0 -     Bastard!! - Ankoku no Hakaishin (J)
0 -     Batman Returns (J)
3 -     Batman Revenge of the Joker (U) <= emulation mode select byte: 0x0c
0 -     Battletoads & Double Dragon - The Ultimate Team (U) [!]
0 -     Battletoads in Battlemaniacs (U)(26454)
0 -     Beauty and the Beast (E)
0 -     Bisyoujyo Senshi Sailor Moon (J)
0 -     Brawl Brothers (U) [!]
1* -    Breath of Fire II (E)
0 -     Breath of Fire (U) [!]
0 -     BS Chrono Trigger Character Library (J)
0 -     BS Chrono Trigger - Jet Bike Special (J)
0 -     BS Chrono Trigger Music Library (J)
8 -     BS Dan Dan Belt Conveyor Ukulele no Maki (J)(NG-Dump Known)
0 -     BS Dr. Mario (J)
0 -     BS F-Zero 2 (J)
